MeasurementID;BrowseName;Description;EngineeringUnits;MeasurementPeriod;DataType;HasStatisticComponent 
1429;AcActivePowerTotalSumMinCompleted;Active Power total (import - export) minimum - demand of last completed period (fixed interval starting with the full hour);W;user-defined, FixedBlockCompleted;Float;NO
1430;AcActivePowerTotalImportInstantaneous;Active Power total import in the instantaneous period (fixed interval starting with the full hour);W;user-defined, FixedBlockInstantaneous;Float;NO
1431;AcActivePowerTotalExportInstantaneous;Active Power total export in the instantaneous period (fixed interval starting with the full hour);W;user-defined, FixedBlockInstantaneous;Float;NO
1432;AcActivePowerTotalSumMaxInstantaneous;Active Power total (import - export) maximum in the instantaneous period (fixed interval starting with the full hour);W;user-defined, FixedBlockInstantaneous;Float;NO
1433;AcActivePowerTotalSumMinInstantaneous;Active Power total (import - export) minimum in the instantaneous period (fixed interval starting with the full hour);W;user-defined, FixedBlockInstantaneous;Float;NO
1434;AcActivePowerTotalImportPredicted;Active Power total import predicted in the instantaneous period (fixed interval starting with the full hour);W;user-defined, FixedBlockPredicted;Float;NO
1435;AcActivePowerTotalExportPredicted;Active Power total export predicted in the instantaneous period (fixed interval starting with the full hour);W;user-defined, FixedBlockPredicted;Float;NO
1500;AcApparentPowerL1;Apparent Power L1 ;VA;-;Float;NO
1501;AcApparentPowerL1Max;Apparent Power L1 maximum. Based on AcApparentPowerL1. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1502;AcApparentPowerL1Min;Apparent Power L1 minimum. Based on AcApparentPowerL1. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1503;AcApparentPowerL2;Apparent Power L2;VA;-;Float;NO
1504;AcApparentPowerL2Max;Apparent Power L2 maximum. Based on AcApparentPowerL2. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1505;AcApparentPowerL2Min;Apparent Power L2 minimum. Based on AcApparentPowerL2. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1506;AcApparentPowerL3;Apparent Power L3;VA;-;Float;NO
1507;AcApparentPowerL3Max;Apparent Power L3 maximum. Based on AcApparentPowerL3. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1508;AcApparentPowerL3Min;Apparent Power L3 minimum. Based on AcApparentPowerL3. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1509;AcApparentPowerPe;Apparent Power;VA;-;AcPeDataType;NO
1510;AcApparentPowerPeMax;Apparent Power maximum (the maximum of each phase is tracked individually). Based on AcApparentPowerPe. May be reset by ResetStatistics or other mechanisms.;VA;-;AcPeDataType;YES
1511;AcApparentPowerPeMin;Apparent Power minimum (the minimum of each phase is tracked individually). Based on AcApparentPowerPe. May be reset by ResetStatistics or other mechanisms.;VA;-;AcPeDataType;YES
1512;AcApparentPowerTotal;Apparent Power total;VA;-;Float;NO
1513;AcApparentPowerTotalMax;Apparent Power total maximum. Based on AcApparentPowerTotal. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1514;AcApparentPowerTotalMin;Apparent Power total minimum. Based on AcApparentPowerTotal. May be reset by ResetStatistics or other mechanisms.;VA;-;Float;YES
1516;AcApparentPowerTotal15minCompleted;Apparent Power total in last completed period (fixed 15min interval starting with the full hour);VA;900 s, FixedBlockCompleted;Float;NO
1517;AcApparentPowerTotal15minInstantaneous;Apparent Power total in the instantaneous period (fixed 15min interval starting with the full hour);VA;900 s, FixedBlockInstantaneous;Float;NO
1518;AcApparentPowerTotal15minPredicted;Apparent Power total predicted in the instantaneous period (fixed 15min interval starting with the full hour);VA;900 s, FixedBlockPredicted;Float;NO
