IEC CDD Code,UnitId,DisplayName,Description
0112/2///62720#UAA189,705742617,K/h,kelvin per hour
0112/2///62720#UAA191,705742641,K/min,kelvin per minute
0112/2///62720#UAA192,705742642,K/s,kelvin per second
0112/2///62720#UAA193,705742643,K⁻¹,reciprocal kelvin
0112/2///62720#UAA194,705742644,Kibit/m,kibibit per metre
0112/2///62720#UAA195,705742645,Kibit/m²,kibibit per square metre
0112/2///62720#UAA196,705742646,Kibit/m³,kibibit per cubic metre
0112/2///62720#UAA197,705742647,Kibyte,kibibyte
0112/2///62720#UAA198,705742648,MΩ,megaohm
0112/2///62720#UAA199,705742649,MΩ/km,megaohm per kilometre
0112/2///62720#UAA200,705743376,MΩ·m,megaohm metre
0112/2///62720#UAA201,705743377,MΩ/m,megaohm per metre
0112/2///62720#UAA202,705743378,MA,megaampere
0112/2///62720#UAA203,705743379,MA/m²,megaampere per square metre
0112/2///62720#UAA204,705743380,MBd,megabaud
0112/2///62720#UAA205,705743381,MBq,megabecquerel
0112/2///62720#UAA206,705743382,MC,megacoulomb
0112/2///62720#UAA207,705743383,MC/m²,megacoulomb per square metre
0112/2///62720#UAA208,705743384,MC/m³,megacoulomb per cubic metre
0112/2///62720#UAA209,705743385,MHz,megahertz
0112/2///62720#UAA210,705743408,MHz·m,megahertz metre
0112/2///62720#UAA211,705743409,MJ,megajoule
0112/2///62720#UAA212,705743410,MJ/m³,megajoule per cubic metre
0112/2///62720#UAA213,705743411,MN,meganewton
0112/2///62720#UAA214,705743412,MN·m,meganewton metre
0112/2///62720#UAA215,705743413,MPa,megapascal
0112/2///62720#UAA216,705743414,MPa/K,megapascal per kelvin
0112/2///62720#UAA217,705743415,MPa/bar,megapascal per bar
0112/2///62720#UAA218,705743416,MPa·l/s,megapascal litre per second
0112/2///62720#UAA219,705743417,MPa·m³/s,megapascal cubic metre per second
0112/2///62720#UAA220,705743440,MS/m,megasiemens per metre
0112/2///62720#UAA221,705743441,MV,megavolt
0112/2///62720#UAA222,705743442,MV·A,megavolt ampere
0112/2///62720#UAA223,705743443,MV/m,megavolt per metre
0112/2///62720#UAA224,705743444,MW,megawatt
0112/2///62720#UAA225,705743445,MW·h,megawatt hour
0112/2///62720#UAA226,705743446,Mbit/s,megabit per second
0112/2///62720#UAA227,705743447,MeV,megaelectronvolt
0112/2///62720#UAA228,705743448,Mg,megagram
0112/2///62720#UAA229,705743449,Mg/m³,megagram per cubic metre
0112/2///62720#UAA230,705743472,Mibit/m,mebibit per metre
0112/2///62720#UAA231,705743473,Mibit/m²,mebibit per square metre
0112/2///62720#UAA232,705743474,Mibit/m³,mebibit per cubic metre
