ID	Browsename	Node Class
1572	EngineeringUnits	Variable
1573	EngineeringUnits	Variable
1574	EngineeringUnits	Variable
1575	EnumDictionaryEntries	Variable
1576	EnumValues	Variable
1577	ValueAsDictionaryEntries	Variable
1578	ValueAsText	Variable
5000	DeviceConditionSet	Object
5010	DeviceConditionSet	Object
5020	DeviceConditionSet	Object
5030	DeviceConditionSet	Object
5040	DeviceConditionSet	Object
5050	DeviceConditionSet	Object
5060	DeviceConditionSet	Object
5070	SignalConditionSet	Object
5071	<SignalCalibrationIdentifier>	Object
5072	<SignalCalibrationIdentifier>	Object
5073	SignalConditionSet	Object
5074	<SignalCalibrationIdentifier>	Object
5075	SignalConditionSet	Object
5076	<SignalCalibrationIdentifier>	Object
5077	SignalConditionSet	Object
5078	<SignalCalibrationIdentifier>	Object
5079	SignalConditionSet	Object
5080	SignalConditionSet	Object
5081	SignalConditionSet	Object
6000	CalibrationRange1ResponseFactor	Variable
6001	CalibrationRange1LowerRangeValue	Variable
6002	EngineeringUnits	Variable
6003	CalibrationRange1UpperRangeValue	Variable
6004	EngineeringUnits	Variable
6005	CalibrationRange2ResponseFactor	Variable
6006	CalibrationRange2LowerRangeValue	Variable
6007	EngineeringUnits	Variable
6008	CalibrationRange2UpperRangeValue	Variable
6009	EngineeringUnits	Variable
6010	CalibrationRange3ResponseFactor	Variable
6011	CalibrationRange3LowerRangeValue	Variable
6012	EngineeringUnits	Variable
6013	CalibrationRange3UpperRangeValue	Variable
6014	EngineeringUnits	Variable
6015	ValveName	Variable
6016	ValveSwitchingCyclesCounter	Variable
6017	TotalAreaMeasuredPeaks	Variable
6018	EngineeringUnits	Variable
6019	BaselineNoise	Variable
6020	EngineeringUnits	Variable
6030	ValveName	Variable
6031	ValveSwitchingCyclesCounter	Variable
6032	TotalAreaMeasuredPeaks	Variable
6033	EngineeringUnits	Variable
6034	BaselineNoise	Variable
6035	EngineeringUnits	Variable
6040	Watchdog	Variable
6041	RemainingDataStorageCapacity	Variable
6042	Watchdog	Variable
6043	RemainingDataStorageCapacity	Variable
6050	Watchdog	Variable
6051	RemainingDataStorageCapacity	Variable
6052	Watchdog	Variable
6053	RemainingDataStorageCapacity	Variable
6060	Watchdog	Variable
6061	RemainingDataStorageCapacity	Variable
6070	Watchdog	Variable
6071	RemainingDataStorageCapacity	Variable
6072	SensingElementTemperature	Variable
6073	EngineeringUnits	Variable
6074	SensorNextCalibrationFixed	Variable
6075	SensorNextCalibrationDynamic	Variable
6076	PowerOnDurationSensor	Variable
6077	SensingElementResidualLife	Variable
6078	RelativeGasFlowRate	Variable
6079	ConsumedSensorCapacity	Variable
